,count,delta,delta_per_count,sched_delta
count,66.0,66.0,66.0,66.0
mean,15942.439393939394,16.188650420217805,0.0010154600871059034,0.15899402613514393
std,46.21159654255255,0.4288851875972459,2.7415096137184335e-05,0.4361079633442853
min,15819.0,14.373779296875,0.0009086401982979328,-1.5317623979794774
25%,15949.25,15.838623046875,0.0009925508968891357,-0.2061763459842405
50%,15963.5,16.3726806640625,0.0010253433637326538,0.31732382839423323
75%,15966.0,16.5557861328125,0.001037668365985507,0.5141798800911577
max,15975.0,16.632080078125,0.0010486445342081597,0.6841318841276713
