time,start,end,count,diff
28440.415575,2062423074,2062424182,15944,1108
28440.433609,2062436324,2062437431,16017,1107
28440.445630,2062445138,2062446244,15956,1106
28440.457645,2062453924,2062455031,15613,1107
28440.469678,2062462757,2062463861,15942,1104
28440.481698,2062471643,2062472752,15958,1109
28440.493717,2062480475,2062481587,15856,1112
28440.505746,2062489315,2062490423,15856,1108
28440.517767,2062498157,2062499270,15963,1113
28440.529783,2062506945,2062508046,15535,1101
28440.541815,2062515771,2062516878,15938,1107
28440.553836,2062524612,2062525725,15871,1113
28440.568866,2062535608,2062536713,15937,1105
28440.580887,2062544441,2062545549,15911,1108
28440.607938,2062564266,2062565370,15956,1104
28440.619951,2062573081,2062574179,15482,1098
28440.631988,2062581893,2062583006,15940,1113
28440.644008,2062590742,2062591855,15884,1113
28440.656023,2062599537,2062600639,15602,1102
28440.668057,2062608351,2062609460,15945,1109
28440.713142,2062641453,2062642566,15948,1113
28440.725163,2062650284,2062651392,15969,1108
28440.737177,2062659095,2062660200,15603,1105
28440.749210,2062667935,2062669042,15939,1107
28440.761229,2062676969,2062678067,15947,1098
28440.776255,2062687895,2062689001,15640,1106
28440.788283,2062696681,2062697789,15984,1108
28440.809307,2062712005,2062713107,15678,1102
28440.821341,2062720772,2062721877,15558,1105
28440.833369,2062729556,2062730669,15887,1113
28440.845383,2062738324,2062739427,15640,1103
28440.857409,2062747110,2062748214,15637,1104
28440.872428,2062758073,2062759175,15680,1102
28440.884461,2062766871,2062767972,15641,1101
28440.905506,2062782238,2062783346,16061,1108
28440.917513,2062791000,2062792102,15750,1102
28440.929547,2062799759,2062800863,15642,1104
28440.977643,2062834889,2062835987,16058,1098
28440.989650,2062843641,2062844748,15685,1107
28441.016702,2062863330,2062864429,15678,1099
28441.028735,2062872102,2062873206,15642,1104
28441.043760,2062883078,2062884178,15632,1100
28441.055787,2062891862,2062892964,15564,1102
28441.069320,2062901806,2062902918,15922,1112
28441.081340,2062910668,2062911780,15950,1112
28441.093354,2062919507,2062920612,15606,1105
28441.129423,2062946029,2062947136,15614,1107
28441.141452,2062954878,2062955955,15658,1077
28441.159483,2062967984,2062969089,15571,1105
28441.171511,2062976787,2062977895,15878,1108
28441.183518,2062985564,2062986666,15683,1102
28441.195547,2062994369,2062995481,15867,1112
28441.207580,2063003179,2063004255,15805,1076
28441.225614,2063016312,2063017424,15959,1112
28441.237623,2063025133,2063026240,15683,1107
28441.291732,2063064639,2063065741,15652,1102
28441.303758,2063073423,2063074528,15571,1105
28441.315785,2063082209,2063083317,15964,1108
28441.327793,2063090969,2063092069,15685,1100
28441.339832,2063099707,2063100812,15709,1105
28441.351854,2063108493,2063109602,15959,1109
28441.384912,2063132612,2063133717,15650,1105
28441.396941,2063141414,2063142516,15936,1102
28441.433008,2063167692,2063168796,15961,1104
28441.445032,2063176493,2063177604,15950,1111
28441.502135,2063218185,2063219292,15646,1107
28441.514162,2063226970,2063228074,15962,1104
28441.526170,2063235741,2063236838,15680,1097
28441.538209,2063244481,2063245590,15707,1109
28441.604333,2063292747,2063293850,15957,1103
28441.616342,2063301493,2063302600,15679,1107
28441.637398,2063316832,2063317934,15706,1102
28441.649424,2063325660,2063326768,16040,1108
28441.673461,2063343186,2063344296,15641,1110
28441.685489,2063351983,2063353091,15982,1108
28441.709530,2063369524,2063370623,15713,1099
28441.721558,2063378314,2063379422,15983,1108
28441.733565,2063387059,2063388170,15681,1111
28441.745599,2063395811,2063396916,15711,1105
28441.799702,2063435276,2063436377,15711,1101
28441.811729,2063444064,2063445172,15984,1108
28441.823736,2063452832,2063453942,15756,1110
28441.835777,2063461592,2063462667,15913,1075
28441.853804,2063474705,2063475779,15824,1074
28441.865832,2063483514,2063484627,15948,1113
28441.883868,2063496749,2063497857,15973,1108
28441.895875,2063505557,2063506664,15760,1107
28441.907907,2063514365,2063515470,15663,1105
28441.919935,2063523147,2063524254,16064,1107
28441.931942,2063531913,2063533012,15675,1099
28441.943975,2063540674,2063541747,15831,1073
28441.956004,2063549405,2063550514,15897,1109
28441.968010,2063558199,2063559309,15682,1110
28441.980044,2063566958,2063568063,15633,1105
28441.998079,2063580162,2063581273,15633,1111
28442.010106,2063588960,2063590057,15976,1097
28442.025130,2063599909,2063601015,15639,1106
28442.037158,2063608700,2063609804,15959,1104
28442.061198,2063626250,2063627359,15639,1109
28442.073224,2063635092,2063636201,15943,1109
28442.136347,2063681178,2063682282,15961,1104
28442.148353,2063689966,2063691071,15678,1105
28442.184430,2063716284,2063717386,15633,1102
28442.196456,2063725067,2063726169,15637,1102
28442.236544,2063755756,2063756863,15678,1107
28442.268593,2063777682,2063778787,15639,1105
28442.280619,2063786528,2063787636,15938,1108
28442.295645,2063797516,2063798618,15641,1102
28442.340731,2063830403,2063831509,15642,1106
28442.352759,2063839194,2063840307,15980,1113
28442.440914,2063904961,2063906059,16056,1098
28442.475988,2063929112,2063930214,15710,1102
28442.488017,2063937996,2063939095,15994,1099
28442.500022,2063946746,2063947850,15677,1104
28442.512056,2063955481,2063956593,15637,1112
28442.524084,2063964271,2063965384,15976,1113
28442.549120,2063983998,2063985106,15980,1108
28442.602227,2064021361,2064022463,15713,1102
28442.614256,2064030153,2064031261,16059,1108
28442.626262,2064038910,2064040016,15678,1106
28442.653315,2064058677,2064059777,15756,1100
28442.665348,2064067450,2064068555,15636,1105
28442.680372,2064078413,2064079518,15710,1105
28442.692399,2064087220,2064088325,15638,1105
28442.755520,2064133230,2064134335,15639,1105
28442.767547,2064142034,2064143138,15976,1104
28442.779562,2064150781,2064151880,15638,1099
28442.791588,2064159573,2064160675,15641,1102
28442.803616,2064168363,2064169468,15977,1105
28442.815622,2064177122,2064178227,15680,1105
28442.827663,2064185887,2064186993,15710,1106
28442.845691,2064199023,2064200120,15631,1097
28442.857719,2064207813,2064208916,15978,1103
28442.872743,2064218795,2064219901,15641,1106
28442.887761,2064229813,2064230920,15675,1107
28442.919320,2064252837,2064253943,15681,1106
28442.931348,2064261640,2064262745,15811,1105
28442.943382,2064270420,2064271522,16060,1102
28442.955388,2064279173,2064280269,15759,1096
28442.967422,2064287903,2064289008,15720,1105
28442.979450,2064296682,2064297791,16037,1109
28443.081628,2064371241,2064372343,15678,1102
28443.093664,2064379992,2064381101,15641,1109
28443.105689,2064388839,2064389947,15898,1108
28443.177827,2064441506,2064442615,16031,1109
28443.189834,2064450266,2064451371,15757,1105
28443.203361,2064460231,2064461331,15754,1100
28443.284516,2064519470,2064520575,15678,1105
28443.296548,2064528222,2064529336,15639,1114
28443.312585,2064541435,2064542537,15634,1102
28443.395737,2064600664,2064601776,15634,1112
28443.407765,2064609481,2064610590,15980,1109
28443.419773,2064618329,2064619436,15683,1107
28443.431805,2064627099,2064628208,15641,1109
28443.452851,2064642482,2064643580,15974,1098
28443.464857,2064651234,2064652340,15683,1106
28443.503942,2064679802,2064680913,15636,1111
28443.515972,2064688679,2064689783,15959,1104
28443.527977,2064697458,2064698568,15679,1110
28443.540011,2064706234,2064707339,15637,1105
28443.552039,2064715030,2064716143,15972,1113
28443.612149,2064758911,2064760017,15639,1106
28443.624176,2064767709,2064768817,15954,1108
28443.636182,2064776471,2064777578,15675,1107
28443.648217,2064785245,2064786347,15640,1102
28443.660245,2064794028,2064795139,15978,1111
28443.672259,2064802796,2064803902,15637,1106
28443.684285,2064811594,2064812691,15640,1097
28443.696313,2064820372,2064821485,15973,1113
28443.708320,2064829137,2064830236,15679,1099
28443.720358,2064837937,2064839048,15719,1111
28443.732382,2064846737,2064847851,15892,1114
28443.753406,2064862127,2064863232,15676,1105
28443.765440,2064870881,2064871983,15641,1102
28443.783474,2064884073,2064885169,15636,1096
28443.795502,2064892868,2064893971,15982,1103
28443.807509,2064901668,2064902764,15686,1096
28443.819547,2064910470,2064911580,15809,1110
28443.831573,2064919329,2064920442,15833,1113
28443.844335,2064929901,2064931018,15883,1117
28443.858625,2064941269,2064942386,15912,1117
28443.873645,2064952413,2064953522,15818,1109
28443.887171,2064963746,2064964863,15848,1117
28443.902207,2064974854,2064975966,15982,1112
28443.914223,2064984859,2064985972,15932,1113
28443.927747,2064996206,2064997323,15861,1117
28443.939777,2065005104,2065006216,15937,1112
28443.950292,2065013437,2065014554,15842,1117
28443.962319,2065023488,2065024603,15906,1115
28443.981852,2065039448,2065040564,15886,1116
28443.993880,2065048341,2065049451,15914,1110
28444.005902,2065058568,2065059687,15963,1119
28444.017925,2065067421,2065068532,15701,1111
28444.029947,2065076225,2065077334,15952,1109
28444.041968,2065086405,2065087519,15932,1114
28444.053988,2065095239,2065096345,15646,1106
28444.066018,2065105316,2065106435,15947,1119
28444.087053,2065122403,2065123513,15933,1110
28444.105074,2065135615,2065136721,15672,1106
28444.118612,2065146882,2065147991,15862,1109
28444.128641,2065155758,2065156867,15597,1109
28444.147173,2065169695,2065170803,15946,1108
28444.165208,2065182972,2065184086,15970,1114
28444.186241,2065200055,2065201170,15840,1115
28444.198270,2065209728,2065210845,15916,1117
28444.214801,2065222608,2065223720,15965,1112
28444.232834,2065235940,2065237050,15970,1110
28444.253870,2065253041,2065254157,15807,1116
28444.265900,2065261933,2065263047,16037,1114
28444.277921,2065272164,2065273279,15981,1115
28444.292952,2065283690,2065284803,15988,1113
28444.313988,2065300144,2065301256,15980,1112
28444.326009,2065310333,2065311447,15948,1114
28444.341040,2065321390,2065322490,15981,1100
28444.354567,2065332724,2065333836,16044,1112
28444.369584,2065343780,2065344894,15895,1114
28444.383114,2065355109,2065356225,15908,1116
28444.402654,2065370838,2065371952,15937,1114
28444.417686,2065381870,2065382987,16033,1117
28444.431212,2065393213,2065394324,15953,1111
28444.446235,2065404212,2065405327,15728,1115
28444.458263,2065414243,2065415355,16029,1112
28444.470269,2065423079,2065424182,15672,1103
28444.482303,2065433082,2065434193,15928,1111
28444.497320,2065444082,2065445197,15752,1115
28444.510860,2065455414,2065456526,16014,1112
28444.525891,2065466438,2065467546,15977,1108
28444.537912,2065476480,2065477591,15923,1111
28444.552939,2065487945,2065489057,15940,1112
28444.573968,2065504391,2065505501,15675,1110
28444.586001,2065514532,2065515646,15833,1114
28444.600331,2065526759,2065527879,15925,1120
28444.622076,2065542325,2065543439,15919,1114
28444.634100,2065551242,2065552352,15996,1110
28444.644334,2065560536,2065561646,15839,1110
28444.661152,2065572462,2065573575,15981,1113
28444.677671,2065585072,2065586183,15671,1111
28444.688334,2065595284,2065596400,15843,1116
28444.701230,2065604156,2065605266,15917,1110
28444.718248,2065615310,2065616417,15600,1107
28444.736283,2065628583,2065629693,15601,1110
28444.748315,2065637467,2065638581,16025,1114
28444.808413,2065681458,2065682563,15685,1105
28444.820446,2065690269,2065691375,15638,1106
28444.832474,2065699068,2065700177,15977,1109
28444.844481,2065707836,2065708942,15680,1106
28444.871534,2065727697,2065728803,15681,1106
28444.883566,2065736466,2065737572,15636,1106
28444.904612,2065751857,2065752966,15977,1109
28444.916618,2065760633,2065761739,15681,1106
28444.928652,2065769358,2065770465,15639,1107
28444.940680,2065778159,2065779264,15978,1105
28444.954208,2065788267,2065789377,15972,1110
28444.969229,2065799220,2065800328,15636,1108
28444.996279,2065819015,2065820125,15836,1110
28445.048390,2065858578,2065859681,15634,1103
28445.095469,2065891499,2065892605,15637,1106
28445.107497,2065900303,2065901416,15982,1113
28445.119505,2065909130,2065910236,15680,1106
28445.131538,2065917878,2065918953,15833,1075
28445.143566,2065926643,2065927757,15973,1114
28445.161103,2065941134,2065942248,15807,1114
28445.197172,2065967499,2065968606,15633,1107
28445.209179,2065976300,2065977410,16031,1110
28445.226218,2065987245,2065988353,15638,1108
28445.238243,2065996094,2065997202,15944,1108
28445.253269,2066007051,2066008157,15639,1106
28445.265299,2066015876,2066016985,15993,1109
28445.316389,2066053092,2066054193,15635,1101
28445.328417,2066061898,2066063008,15974,1110
28445.343441,2066072838,2066073949,15632,1111
28445.360985,2066087336,2066088442,15678,1106
28445.456162,2066155404,2066156507,15709,1103
28445.468183,2066164203,2066165307,16058,1104
28445.480189,2066172965,2066174071,15605,1106
28445.492223,2066181729,2066182840,15634,1111
28445.504252,2066190518,2066191632,15981,1114
28445.516268,2066199298,2066200404,15706,1106
28445.528292,2066208070,2066209181,15639,1111
28445.543310,2066219061,2066220164,15678,1103
28445.555350,2066227809,2066228911,15713,1102
28445.567369,2066236649,2066237762,15941,1113
28445.579380,2066245440,2066246545,15677,1105
28445.591412,2066254202,2066255313,15641,1111
28445.639509,2066289390,2066290490,16061,1100
28445.651516,2066298153,2066299254,15758,1101
28445.663549,2066306916,2066308028,15719,1112
28445.675577,2066315708,2066316817,15985,1109
