,delta,count,delta_per_count
count,100000.0,100000.0,100000.0
mean,17.47514404296875,15965.36698,0.0010946111393820284
std,0.9573690325166839,188.08105867025859,5.989058072110152e-05
min,9.3841552734375,11915.0,0.0007362559626545786
25%,16.9830322265625,15877.0,0.0010622410864938709
50%,17.1356201171875,16010.0,0.0010755555254768371
75%,17.486572265625,16053.0,0.0010979416077796518
max,21.4385986328125,16417.0,0.0013583318011766963
