,count,delta,delta_per_count,sched_delta
count,5997.0,5997.0,5997.0,5997.0
mean,15955.866766716692,17.325994947343464,0.001085731796882112,-0.13947455399968245
std,229.4455336814935,0.46282181602950007,2.1365176221462406e-05,0.30947257791597127
min,11967.0,9.33837890625,0.0007668735588096449,-4.512618746900758
25%,15864.0,17.1661376953125,0.0010751651929934171,-0.3122652289482559
50%,15943.0,17.3187255859375,0.001085813516359718,-0.14032208720539785
75%,15981.0,17.486572265625,0.0010959772852917734,0.021854236118645787
max,16463.0,18.2647705078125,0.0011424629055723852,0.7503156938652396
