,delta,count,delta_per_count
count,100000.0,100000.0,100000.0
mean,17.459389953613282,15927.96319,0.0010962361462802433
std,0.10853780425210105,161.28045308985764,1.08956728253885e-05
min,16.0980224609375,15455.0,0.001018282146937662
25%,17.4102783203125,15776.0,0.0010878722130962042
50%,17.4713134765625,15982.0,0.0010946087677350628
75%,17.5323486328125,16052.0,0.0011046005244241617
max,19.04296875,16339.0,0.0012090297344603824
