,delta,count,delta_per_count
count,100000.0,100000.0,100000.0
mean,15.984359588623047,15899.33609,0.0010054707437167298
std,0.3408905926377893,190.23049216651225,2.3737297457848642e-05
min,14.862060546875,14496.0,0.0009219727459251607
25%,15.7318115234375,15760.0,0.0009890825146485834
50%,15.9912109375,15896.0,0.001006822853601868
75%,16.3116455078125,16031.0,0.0010231071738179634
max,16.693115234375,16530.0,0.0011028235419594458
