time,start,end,count,end-start
260.010543,67667390,67667995,8951,605
261.030989,67811755,67812362,9219,607
262.034899,67946770,67947375,9248,605
263.038805,68090944,68091552,9212,608
264.090805,68239122,68239725,9199,603
265.096229,68400303,68400904,12114,601
266.130185,68567360,68567968,7463,608
267.150626,68714544,68715146,9275,602
268.165062,68861292,68861876,9248,584
269.19,69007900,69008505,7827,605
270.210443,69148042,69148649,9245,607
271.230887,69289312,69289911,9211,599
272.251325,69432154,69432752,9219,598
273.270273,69573284,69573866,9257,582
274.278689,69744134,69744742,9301,608
275.290115,69908785,69909366,6827,581
276.294008,70060588,70061189,6062,601
277.296429,70208067,70208671,12116,604
278.310859,70351727,70352308,9209,581
279.334302,70499100,70499680,8445,580
280.386304,70645134,70645743,7551,609
281.41425,70788052,70788651,11825,599
282.439212,70936775,70937355,9186,580
283.440108,71092770,71093375,11865,605
284.454538,71252909,71253489,9061,580
285.511042,71406330,71406939,11967,609
286.529982,71556694,71557294,5614,600
287.550426,71707967,71708573,9205,606
288.570868,71850871,71851468,9269,597
289.574778,71989034,71989642,9253,608
290.59821,72131697,72132297,7674,600
291.630681,72271285,72271888,9305,603
292.65112,72444210,72444788,8873,578
293.670061,72600570,72601179,6349,609
294.690495,72745969,72746569,9146,600
295.710948,72894195,72894802,9308,607
296.731382,73047484,73048064,8908,580
297.750325,73189965,73190570,8473,605
298.758737,73327013,73327612,8915,599
299.791205,73465162,73465769,9215,607
300.796331,73603181,73603789,12070,608
301.799018,73764497,73765103,9161,606
302.82246,73925589,73926188,8955,599
303.86245,74082083,74082663,9273,580
304.890406,74243739,74244319,9139,580
305.910836,74384146,74384742,9204,596
306.919257,74521383,74521989,8852,606
307.942702,74659898,74660499,9088,601
308.970655,74798566,74799169,8921,603
309.991105,74946428,74947035,9339,607
310.99802,75114067,75114634,6114,567
312.030472,75268501,75269104,8955,603
313.034385,75416411,75417013,8668,602
314.071353,75569348,75569949,9211,601
315.090303,75713832,75714407,8379,575
316.110736,75857090,75857669,8987,579
317.126665,76004150,76004751,9200,601
318.150122,76149335,76149916,6989,581
319.163042,76292483,76293064,8993,581
320.191002,76462125,76462682,9033,557
321.202426,76617469,76618051,9180,582
322.210828,76761212,76761817,9137,605
323.238793,76916660,76917239,8958,579
324.271256,77058223,77058823,8850,600
325.287189,77198398,77199000,9244,602
326.310633,77337500,77338104,9227,604
327.331076,77480421,77480994,8994,573
328.350013,77631022,77631623,5774,601
329.350918,77798809,77799406,8966,597
330.381876,77950963,77951572,8926,609
331.387288,78087895,78088495,11835,600
332.430276,78240725,78241303,7940,578
333.450712,78383951,78384549,9115,598
334.471142,78524705,78525312,9102,607
335.490094,78667115,78667694,6426,579
336.510532,78804131,78804730,8991,599
337.530978,78959507,78960106,12140,599
338.534878,79125535,79126137,8833,602
339.543305,79270914,79271512,9288,598
340.55022,79410675,79411255,7713,580
341.611224,79568369,79568974,11837,605
342.630167,79715888,79716494,7128,606
343.650615,79865969,79866576,9110,607
344.668038,80008023,80008605,8910,582
345.689978,80152983,80153581,9066,598
346.693895,80306309,80306764,4004,455
347.706829,80469050,80469657,8947,607
348.710733,80620609,80621212,8985,603
349.713138,80760414,80760998,8881,584
350.726075,80914793,80915370,6583,577
351.782583,81065288,81065892,9247,604
352.806013,81207126,81207725,6056,599
353.830966,81354639,81355214,8925,575
354.870955,81500339,81500945,9285,606
355.886881,81654078,81654684,8971,606
356.895301,81811902,81812515,9251,613
357.914243,81953428,81954034,7489,606
358.930169,82104638,82105239,6963,601
359.9461,82260963,82261568,6517,605
360.962039,82402360,82402919,6277,559
362.011029,82546570,82547174,8932,604
363.029961,82686129,82686699,5517,570
364.038377,82823131,82823728,8551,597
365.054312,82984590,82985194,9007,604
366.05522,83147231,83147833,9172,602
367.110222,83296419,83297020,7722,601
368.112638,83441101,83441707,12117,606
369.151112,83593277,83593878,9170,601
370.170043,83734862,83735463,5944,601
371.190491,83876678,83877253,9248,575
372.198906,84010580,84011186,9214,606
373.231366,84150336,84150939,8891,603
374.238283,84312202,84312808,9270,606
375.270741,84476224,84476823,8885,599
376.282179,84624539,84625120,8957,581
377.286074,84770450,84771051,6754,601
378.311028,84919914,84920488,8998,574
379.351011,85068894,85069469,9229,575
380.369949,85205897,85206476,5563,579
381.390389,85348022,85348595,9123,573
382.39429,85489535,85490136,8299,601
383.419239,85657235,85657830,8834,595
384.447193,85818907,85819509,8918,602
385.454116,85964653,85965260,7540,607
386.47906,86114719,86115312,9177,593
387.494998,86256064,86256644,9174,580
388.497397,86387420,86388012,8533,592
389.510327,86527367,86527944,8202,577
390.571345,86668773,86669376,9336,603
391.590283,86807455,86808028,7969,573
392.591175,86970228,86970828,9119,600
393.607122,87130617,87131196,9142,579
394.650097,87280034,87280619,6374,585
395.67054,87426186,87426760,9062,574
396.690976,87567645,87568223,8891,578
397.702403,87705955,87706553,9210,598
398.730355,87855002,87855577,8356,575
399.750804,88000023,88000625,9286,602
400.771244,88144944,88145546,8933,602
401.779655,88302328,88302924,8910,596
402.786566,88456753,88457351,9162,598
403.794993,88597758,88598358,9260,600
404.806418,88746657,88747258,9247,601
405.831368,88890355,88890954,9189,599
406.854806,89034959,89035557,8855,598
407.863226,89175603,89176205,11989,602
408.870141,89314761,89315360,7208,599
409.895098,89469505,89470114,9199,609
410.897493,89625304,89625908,7028,604
411.91042,89774105,89774703,9202,598
412.918846,89913921,89914526,9318,605
414.021943,90079190,90079786,9241,596
415.027357,90221945,90222552,9234,607
416.070331,90365990,90366584,8691,594
417.090771,90545928,90546519,9205,591
418.109713,90686605,90687210,4047,605
419.130161,90829376,90829956,7230,580
420.13407,91090221,91090832,6532,611
421.146986,91247011,91247604,8907,593
422.150898,91387771,91388368,9186,597
423.210408,91544933,91545528,9265,595
424.229345,91685032,91685608,7374,576
425.251297,91827504,91828115,9273,611
426.270232,91970950,91971550,7674,600
427.290683,92106670,92107245,9294,575
428.294589,92246587,92247167,9238,580
429.315028,92421847,92422448,8920,601
430.350496,92577752,92578347,8966,595
431.370939,92729776,92730376,9286,600
432.382358,92881134,92881741,9226,607
433.386268,93018224,93018824,8183,600
434.430756,93163370,93163976,9240,606
435.451199,93299781,93300377,9192,596
436.470124,93435123,93435720,6678,597
437.474036,93582108,93582705,6205,597
438.474952,93746921,93747501,5908,580
439.486367,93898170,93898742,8697,572
440.494781,94044581,94045177,9321,596
441.570837,94200267,94200841,9232,574
442.591265,94344164,94344759,9051,595
443.610213,94477864,94478444,7596,580
444.614121,94609807,94610363,6705,556
445.651088,94753964,94754562,9165,598
446.653497,94901934,94902538,11978,604
447.666422,95071333,95071931,9159,598
448.679344,95220377,95220969,9231,592
449.719331,95366985,95367593,9331,608
450.750294,95520700,95521306,8344,606
451.770722,95656505,95657108,9183,603
452.774637,95788528,95789107,9029,579
453.810113,95935902,95936501,6821,599
454.830544,96077061,96077636,9006,575
455.834447,96230385,96230982,9090,597
456.84288,96396352,96396954,12085,602
457.890361,96546523,96547121,9032,598
458.894275,96688852,96689431,7815,579
459.904192,96835999,96836604,9264,605
460.950177,96981247,96981823,7471,576
461.970632,97123247,97123848,9287,601
462.991071,97269614,97270217,9300,603
464.006985,97413969,97414570,9109,601
465.007908,97576347,97576949,8977,602
466.01933,97740751,97741355,9201,604
467.050288,97888858,97889459,7980,601
468.09026,98033431,98034025,8048,594
469.110708,98179462,98180055,9213,593
470.131143,98319700,98320293,12072,593
471.142564,98469644,98470242,9179,598
472.170519,98613821,98614420,9236,599
473.19096,98755141,98755732,8884,591
474.209899,98915765,98916369,8884,604
475.23035,99079041,99079620,8683,579
476.250778,99229365,99229959,9197,594
477.254697,99369331,99369932,8953,601
478.275127,99512967,99513568,9230,601
479.279046,99647480,99648085,9285,605
480.311511,99788045,99788609,7138,564
481.318414,99928463,99929064,8902,601
482.322325,100068343,100068944,9229,601
483.326234,100226277,100226876,9225,599
484.382747,100391842,100392444,11842,602
485.391162,100534294,100534888,8857,594
486.395081,100675489,100676090,8967,601
487.471116,100831437,100832031,8852,594
488.490066,100967582,100968160,6332,578
489.510499,101103441,101104035,9249,594
490.512909,101239455,101240062,7202,607
491.551382,101378152,101378745,9222,593
492.570312,101543383,101543981,8123,598
493.575737,101704033,101704634,9216,601
494.599172,101844899,101845492,8837,593
495.63014,101994250,101994827,6853,577
496.650574,102140238,102140836,8930,598
497.671024,102280032,102280610,9209,578
498.689954,102421544,102422136,5268,592
499.710405,102560577,102561151,9232,574
500.730844,102698691,102699264,9232,573
501.751284,102867506,102868104,9161,598
502.758195,103027180,103027757,7122,577
503.790664,103179108,103179689,8947,581
504.811104,103331364,103331943,9143,579
505.830043,103471396,103471958,6288,562
506.850478,103609320,103609920,9282,600
507.870921,103743047,103743622,9243,575
508.891356,103879981,103880556,8878,575
509.910303,104025791,104026346,8316,555
510.918716,104189379,104189985,9208,606
511.942164,104349458,104350062,7161,604
512.962595,104495701,104496295,9262,594
513.990552,104650119,104650693,9013,574
515.01099,104797141,104797718,8942,577
516.01641,104930542,104931141,9067,599
517.030837,105072494,105073098,9204,604
