time,start,end,count,diff
29169.002665,2614656612,2614657193,9185,581
29169.014683,2614660461,2614661066,9238,605
29169.026699,2614664425,2614665007,11961,582
29169.038732,2614668370,2614668979,12046,609
29169.050752,2614672291,2614672895,9250,604
29169.062772,2614676086,2614676662,8983,576
29169.074799,2614679913,2614680522,9179,609
29169.190514,2614715378,2614715980,12042,602
29169.201039,2614719387,2614720003,12053,616
29169.211554,2614725362,2614726500,16358,1138
29169.222072,2614731711,2614732350,13730,639
29169.234101,2614735647,2614736229,8963,582
29169.246128,2614739633,2614740217,9241,584
29169.258144,2614743522,2614744132,9252,610
29169.270170,2614747408,2614747990,8949,582
29169.282196,2614751281,2614751865,9170,584
29169.294208,2614755274,2614755871,11929,597
29169.306235,2614759291,2614759896,11980,605
29169.318265,2614763155,2614763739,9207,584
29169.330281,2614766995,2614767601,9228,606
29169.342302,2614770861,2614771438,8961,577
29169.354335,2614774661,2614775269,9164,608
29169.366351,2614778546,2614779145,9297,599
29169.378374,2614782382,2614782963,8985,581
29169.390402,2614786208,2614786792,9243,584
29169.402421,2614790063,2614790666,9285,603
29169.414442,2614793889,2614794471,8968,582
29169.426472,2614797907,2614798491,11976,584
29169.438487,2614801957,2614802555,12055,598
29169.450504,2614805794,2614806378,8920,584
29169.462539,2614809694,2614810279,9202,585
29169.474557,2614813560,2614814163,9229,603
29169.486577,2614817390,2614817997,8947,607
29169.498608,2614821283,2614821867,9157,584
29169.510613,2614825254,2614825862,11860,608
29169.522643,2614829252,2614829862,11972,610
29169.534678,2614833121,2614833705,9046,584
29169.546695,2614836987,2614837592,9244,605
29169.558716,2614840824,2614841400,8951,576
29169.570747,2614844643,2614845227,9219,584
29169.582767,2614848491,2614849091,9330,600
29169.594783,2614852286,2614852868,8935,582
29169.606817,2614856098,2614856682,9234,584
29169.618831,2614859943,2614860551,9224,608
29169.650385,2614869884,2614870478,11865,594
29169.662414,2614873788,2614874370,8968,582
29169.674444,2614877650,2614878233,9219,583
29169.686461,2614881508,2614882111,9281,603
29169.698481,2614885329,2614885906,8947,577
29169.710510,2614889291,2614889869,11982,578
29169.722528,2614893295,2614893900,12071,605
29169.734548,2614897094,2614897696,8898,602
29169.746579,2614900963,2614901546,9158,583
29169.758596,2614904791,2614905391,9214,600
29169.770615,2614908610,2614909212,8886,602
29169.782653,2614912462,2614913046,9070,584
29169.794667,2614916327,2614916931,9270,604
29169.806682,2614920155,2614920734,8849,579
29169.818718,2614924007,2614924590,9157,583
29169.830740,2614927898,2614928497,9315,599
29169.842751,2614931881,2614932463,11956,582
29169.854782,2614935862,2614936467,12081,605
29169.866803,2614939761,2614940365,9296,604
29169.878818,2614943586,2614944183,8865,597
29169.890852,2614947425,2614948009,9165,584
29169.902869,2614951271,2614951885,9209,614
29169.914887,2614955075,2614955679,8860,604
29169.926922,2614959068,2614959673,12157,605
29169.938941,2614963103,2614963707,12069,604
29169.950960,2614966902,2614967478,8990,576
29169.962985,2614970741,2614971350,9211,609
29169.975006,2614974573,2614975173,9215,600
29169.987025,2614978414,2614978997,8947,583
29169.999055,2614982335,2614982944,9194,609
29170.011076,2614986331,2614986935,9261,604
29170.023096,2614990289,2614990899,8956,610
29170.035127,2614994425,2614995032,12114,607
29170.047135,2614998511,2614999108,11831,597
29170.059167,2615002451,2615003053,11830,602
29170.069685,2615005973,2615006581,9233,608
29170.086219,2615011245,2615011826,8948,581
29170.098249,2615015100,2615015684,9206,584
29170.213956,2615050375,2615050969,11841,594
